annee,culture,production,superficie,rendement
2010,Arachides non décortiquées,332081,227453,1460
2010,"Manioc, frais",1062233,125116,8490
2010,Maïs,584141,358092,1631.3
2010,Riz,1613730,1465953,1100.8
2011,Arachides non décortiquées,352779,239053,1475.7
2011,"Manioc, frais",1112585,131046,8490
2011,Maïs,611294,368607,1658.4
2011,Riz,1792801,1549895,1156.7
2012,Arachides non décortiquées,357867,295758,1210
2012,"Manioc, frais",1164542,168286,6920
2012,Maïs,641045,525447,1220
2012,Riz,1918841,1599034,1200
2013,Arachides non décortiquées,363028,297564,1220
2013,"Manioc, frais",1218925,176656,6900
2013,Maïs,672244,537795,1250
2013,Riz,2053359,1642687,1250
2014,Arachides non décortiquées,421703,535378,787.7
2014,"Manioc, frais",1426625,180365,7909.7
2014,Maïs,698462,566780,1232.3
2014,Riz,1970515,1690869,1165.4
2015,Arachides non décortiquées,489850,612313,800
2015,"Manioc, frais",1506659,190475,7910
2015,Maïs,727488,581847,1250.3
2015,Riz,2047365,1706138,1200
2016,Arachides non décortiquées,535010,669805,798.8
2016,"Manioc, frais",1607082,202149,7950
2016,Maïs,748639,610389,1226.5
2016,Riz,2136242,1687597,1265.8
2017,Arachides non décortiquées,695622,732234,950
2017,"Manioc, frais",1751719,218965,8000
2017,Maïs,817286,605397,1350
2017,Riz,2197907,1805878,1217.1
2018,Arachides non décortiquées,770105,785737,980.1
2018,"Manioc, frais",1895396,237182,7991.3
2018,Maïs,818544,611474,1338.6
2018,Riz,2339747,1859767,1258.1
2019,Arachides non décortiquées,738721,672500,1098.5
2019,"Manioc, frais",2145484,258492,8300
2019,Maïs,773452,533415,1450
2019,Riz,2385929,1767355,1350
2020,Arachides non décortiquées,801197,728361,1100
2020,"Manioc, frais",2523455,279143,9040
2020,Maïs,792509,558105,1420
2020,Riz,2459015,1672799,1470
2021,Arachides non décortiquées,907137,788815,1150
2021,"Manioc, frais",2743166,301447,9100
2021,Maïs,798327,550570,1450
2021,Riz,2839900,1893300,1500
2022,Arachides non décortiquées,1025144.12,854287,1200
2022,"Manioc, frais",2978621.43,325532,9150
2022,Maïs,814706.25,543138,1500
2022,Riz,3158100,2115200,1493.1
2023,Arachides non décortiquées,1000000,900000,1111.1
2023,"Manioc, frais",3000000,328477,9133.1
2023,Maïs,982000,650000,1510.8
2023,Riz,3534800,2352000,1502.9
2024,Arachides non décortiquées,1000000,880000,1136.4
2024,"Manioc, frais",3080966.24,336706,9150.3
2024,Maïs,937000,650000,1441.5
2024,Riz,3680000,2434490,1511.6
